title,code,sick,sick_incr,healed,healed_incr,died,died_incr
Москва,RU-MOW,904352,3458,757871,5220,12759,69
Санкт-Петербург,RU-SPE,310504,3112,197611,4194,9122,79
Московская область,RU-MOS,181991,1092,141779,1250,3411,39
Нижегородская область,RU-NIZ,79670,493,71938,483,1972,18
Свердловская область,RU-SVE,66751,392,59218,402,1872,17
Ростовская область,RU-ROS,59878,390,49523,327,2422,25
Воронежская область,RU-VOR,54394,386,49040,396,1412,16
Красноярский край,RU-KYA,53244,324,49033,333,2089,29
Архангельская область,RU-ARK,48755,252,40510,356,458,0
Иркутская область,RU-IRK,46043,263,40782,323,1461,9
Ханты-Мансийский АО,RU-KHM,45675,212,42191,233,633,4
Хабаровский край,RU-KHA,41591,299,37648,318,231,3
Ульяновская область,RU-ULY,41574,241,38020,167,550,11
Мурманская область,RU-MUR,41191,232,36940,164,765,7
Челябинская область ,RU-CHE,40949,297,28268,361,685,10
Волгоградская область,RU-VGG,40891,251,38948,240,558,6
Саратовская область,RU-SAR,40702,253,35105,269,498,6
Ставропольский край,RU-STA,40131,240,36058,265,877,7
Самарская область,RU-SAM,37444,287,34528,272,762,8
Алтайский край,RU-ALT,37124,195,33785,102,1086,11
Пермский край,RU-PER,36887,297,30310,293,1344,10
Омская область,RU-OMS,35299,229,31976,227,1032,9
Республика Коми,RU-KO,34896,158,33450,197,652,0
Ямало-Ненецкий автономный округ,RU-YAN,34847,107,29594,235,367,0
Приморский край,RU-PRI,34171,226,25595,215,472,5
Республика Карелия,RU-KR,33402,279,28013,312,207,3
Оренбургская область,RU-ORE,32386,174,28668,157,431,6
Забайкальский край,RU-ZAB,32080,221,29807,264,443,4
Краснодарский край,RU-KDA,31760,198,22251,168,1275,18
Новосибирская область,RU-NVS,30894,147,27878,223,1139,10
Пензенская область,RU-PNZ,30461,236,24152,154,361,3
Республика Крым,RU-CR,30449,244,24483,201,680,9
Кировская область,RU-KIR,30444,214,24334,276,258,1
Вологодская область,RU-VLG,29911,307,25222,310,568,10
Республика Саха (Якутия),RU-SA,29323,146,26028,76,446,6
Республика Бурятия,RU-BU,28918,149,26350,164,643,2
Ленинградская область,RU-LEN,28487,225,25665,257,353,10
Кемеровская область,RU-KEM,28263,109,25752,176,505,1
Псковская область,RU-PSK,27934,132,15887,383,117,2
Брянская область,RU-BRY,27225,191,25726,340,229,4
Томская область,RU-TOM,27199,119,24194,103,245,0
Тульская область,RU-TUL,27099,196,24200,205,932,7
Тверская область,RU-TVE,27022,220,22548,316,495,2
Республика Дагестан,RU-DA,26769,150,23494,174,1204,2
Тюменская область,RU-TYU,26717,159,25104,156,233,0
Ярославская область,RU-YAR,26260,186,24619,173,273,6
Белгородская область,RU-BEL,25686,192,23361,250,319,7
Орловская область,RU-ORL,25047,174,22128,142,315,2
Ивановская область,RU-IVA,25033,174,20620,363,681,6
Курская область,RU-KRS,24478,181,21595,169,338,2
Калужская область,RU-KLU,24442,159,22338,154,209,0
Удмуртская Республика,RU-UD,23838,190,20151,187,457,3
Астраханская область,RU-AST,22700,186,14372,90,465,1
Республика Башкортостан,RU-BA,22570,167,17189,282,169,2
Новгородская область,RU-NGR,22374,181,17405,366,108,3
Калининградская область,RU-KGD,22127,211,19843,116,214,3
Владимирская область,RU-VLA,21976,153,19275,147,615,8
Тамбовская область,RU-TAM,20990,156,19277,449,241,3
Рязанская область,RU-RYA,20814,115,18943,108,216,1
Смоленская область,RU-SMO,20496,187,16764,280,408,5
Республика Хакасия,RU-KK,19716,100,17792,212,360,9
Липецкая область,RU-LIP,19414,155,15111,264,342,2
Сахалинская область,RU-SAK,18596,120,15622,163,22,1
Республика Чувашия,RU-CU,18504,105,16602,101,760,13
Амурская область,RU-AMU,18468,122,16551,128,124,3
Кабардино-Балкарская Республика,RU-KB,17880,95,16612,129,302,3
Карачаево-Черкесская Республика,RU-KC,16850,79,15192,78,49,1
Республика Калмыкия,RU-KL,16668,87,14068,135,235,4
Костромская область,RU-KOS,16448,46,13090,96,266,0
Республика Тыва,RU-TY,15259,32,14051,31,185,0
Республика Мордовия,RU-MO,15253,80,12704,73,121,2
Республика Татарстан,RU-TT,15189,85,11577,97,241,4
Республика Алтай,RU-GA,14947,64,13857,53,117,1
Курганская область,RU-KGN,14252,105,12484,97,202,0
Республика Северная Осетия — Алания,RU-SE,13743,77,12215,72,107,2
Республика Ингушетия,RU-IN,13513,54,11671,110,154,1
Республика Адыгея,RU-AD,12523,55,10547,82,111,2
Камчатский край,RU-KAM,11647,70,10220,66,83,0
Чеченская Республика,RU-CE,10407,53,8123,187,103,1
Республика Марий Эл,RU-ME,10218,45,8881,44,145,3
Севастополь,RU-SEV,8710,99,7874,96,342,7
Магаданская область,RU-MAG,7624,25,7177,28,78,1
Еврейская автономная область,RU-YEV,4029,15,3559,20,97,2
Ненецкий автономный округ,RU-NEN,859,3,751,4,0,0
Чукотский автономный округ,RU-CHU,594,2,530,3,4,0
